CPU_Utilization,Thread_Queue_Length,Stress_Score,App_Hash,Last_Adjustment,PerformanceBoost_Label
0,0,0,0,0,0
0,0,0,0,0,0
7.26779,0,2.54373,0,0,0
1.94283,1,9.49456,0,2.54373,0
3.41387,0,1.19486,0,9.49456,0
5.06302,0,1.77206,0,1.19486,0
2.5369,0,0.887916,0,1.77206,0
2.29679,0,0.803876,0,0.887916,0
2.62023,0,0.917082,0,0.803876,0
4.23492,1,10.2968,0,0.917082,0
2.06443,0,0.722551,0,10.2968,0
1.16575,0,0.408012,0,0.722551,0
2.83024,0,0.990584,0,0.408012,0
0.315177,0,0.110312,0,0.990584,0
0.532563,0,0.186397,0,0.110312,0
1.74339,0,0.610185,0,0.186397,0
2.23241,1,9.59592,0,0.610185,0
0.902371,0,0.31583,0,9.59592,0
1.69012,0,0.591543,0,0.31583,0
3.0047,0,1.05165,0,0.591543,0
2.65087,0,0.927804,0,1.05165,0
1.0668,0,0.37338,0,0.927804,0
1.84859,0,0.647005,0,0.37338,0
1.85457,0,0.649099,0,0.647005,0
2.63313,0,0.921596,0,0.649099,0
0.435474,1,8.96699,0,0.921596,0
2.15999,1,9.57057,0,8.96699,0
1.32986,0,0.465451,0,9.57057,0
2.23281,1,9.59606,0,0.465451,0
3.05881,0,1.07058,0,9.59606,0
0.0330332,0,0.0115616,0,1.07058,0
2.17182,0,0.760135,0,0.0115616,0
0.87564,0,0.306474,0,0.760135,0
2.59922,0,0.909728,0,0.306474,0
2.44175,0,0.854613,0,0.909728,0
0.625005,0,0.218752,0,0.854613,0
1.82267,0,0.637934,0,0.218752,0
1.07873,0,0.377554,0,0.637934,0
2.2469,1,9.60099,0,0.377554,0
0.989863,0,0.346452,0,9.60099,0
3.78203,0,1.32371,0,0.346452,0
0.817147,0,0.286001,0,1.32371,0
1.79628,0,0.6287,0,0.286001,0
3.15082,0,1.10279,0,0.6287,0
1.27043,0,0.444651,0,1.10279,0
3.65036,0,1.27762,0,0.444651,0
1.42861,1,9.31458,0,1.27762,0
0,0,0,0,9.31458,0
4.34112,0,1.51939,0,0,0
0.0783423,0,0.0274198,0,1.51939,0
0.770111,1,9.08411,0,0.0274198,0
1.71055,0,0.598691,0,9.08411,0
1.66599,0,0.583096,0,0.598691,0
2.73958,0,0.958853,0,0.583096,0
0.025787,0,0.00902546,0,0.958853,0
0.0420239,0,0.0147084,0,0.00902546,0
2.87457,0,1.0061,0,0.0147084,0
4.23348,0,1.48172,0,1.0061,0
1.01071,0,0.353749,0,1.48172,0
2.80732,0,0.982562,0,0.353749,0
0.573071,1,9.01515,0,0.982562,0
1.33354,1,9.28131,0,9.01515,0
3.37961,0,1.18286,0,9.28131,0
0.974925,0,0.341224,0,1.18286,0
1.9643,0,0.687505,0,0.341224,0
0.507454,0,0.177609,0,0.687505,0
3.03922,0,1.06373,0,0.177609,0
0.288097,0,0.100834,0,1.06373,0
1.57047,0,0.549663,0,0.100834,0
3.40867,0,1.19303,0,0.549663,0
2.04539,0,0.715886,0,1.19303,0
0,0,0,0,0.715886,0
2.12588,0,0.744058,0,0,0
2.57266,1,9.715,0,0.744058,0
3.10122,1,9.9,0,9.715,0
0.889549,0,0.311342,0,9.9,0
0.770338,0,0.269618,0,0.311342,0
1.33123,0,0.465932,0,0.269618,0
3.3959,0,1.18856,0,0.465932,0
1.05607,0,0.369625,0,1.18856,0
2.46295,0,0.862032,0,0.369625,0
0.999295,0,0.349753,0,0.862032,0
1.43703,0,0.502961,0,0.349753,0
1.74609,0,0.611131,0,0.502961,0
1.2819,0,0.448667,0,0.611131,0
3.10509,0,1.08678,0,0.448667,0
0.0127338,0,0.00445682,0,1.08678,0
3.71829,1,10.116,0,0.00445682,0
2.71626,1,9.76526,0,10.116,0
0,0,0,0,9.76526,0
0.822922,0,0.288023,0,0,0
5.00836,1,10.5675,0,0.288023,0
1.43699,0,0.502945,0,10.5675,0
0.312905,0,0.109517,0,0.502945,0
3.7743,1,10.1356,0,0.109517,0
0,0,0,0,10.1356,0
1.91847,0,0.671463,0,0,0
2.17706,0,0.761971,0,0.671463,0
1.69089,0,0.591813,0,0.761971,0
1.16989,0,0.409461,0,0.591813,0
1.82286,0,0.638001,0,0.409461,0
0.39708,0,0.138978,0,0.638001,0
2.56628,0,0.898197,0,0.138978,0
2.71513,0,0.950297,0,0.898197,0
2.53383,0,0.886839,0,0.950297,0
3.73081,0,1.30578,0,0.886839,0
0,0,0,0,1.30578,0
2.91942,1,9.83637,0,0,0
1.63036,1,9.3852,0,9.83637,0
0.580352,0,0.203123,0,9.3852,0
7.10861,0,2.48801,0,0.203123,0
7.53541,0,2.63739,0,2.48801,0
6.32902,0,2.21516,0,2.63739,0
1.2321,0,0.431236,0,2.21516,0
1.89137,0,0.661981,0,0.431236,0
2.31624,1,9.62525,0,0.661981,0
4.05113,0,1.4179,0,9.62525,0
3.43202,0,1.20121,0,1.4179,0
0.575217,0,0.201326,0,1.20121,0
3.9468,0,1.38138,0,0.201326,0
2.01898,0,0.706644,0,1.38138,0
4.8542,0,1.69897,0,0.706644,0
1.79537,0,0.62838,0,1.69897,0
0.736387,0,0.257735,0,0.62838,0
1.40722,0,0.492526,0,0.257735,0
3.32027,0,1.16209,0,0.492526,0
1.69372,0,0.592803,0,1.16209,0
1.12615,0,0.394153,0,0.592803,0
3.78237,0,1.32383,0,0.394153,0
2.4707,0,0.864745,0,1.32383,0
1.32421,0,0.463474,0,0.864745,0
1.62005,0,0.567016,0,0.463474,0
1.1025,0,0.385876,0,0.567016,0
2.12387,0,0.743354,0,0.385876,0
2.08379,0,0.729327,0,0.743354,0
0.503213,0,0.176125,0,0.729327,0
1.67586,1,9.40112,0,0.176125,0
2.96273,0,1.03696,0,9.40112,0
2.70122,0,0.945428,0,1.03696,0
0.475159,0,0.166306,0,0.945428,0
1.19398,1,9.23247,0,0.166306,0
3.47448,0,1.21607,0,9.23247,0
1.62284,0,0.567994,0,1.21607,0
6.13216,0,2.14626,0,0.567994,0
3.09618,0,1.08366,0,2.14626,0
4.77899,0,1.67265,0,1.08366,0
4.86553,1,10.5175,0,1.67265,0
4.76322,0,1.66713,0,10.5175,0
4.04108,0,1.41438,0,1.66713,0
4.66247,0,1.63187,0,1.41438,0
3.92152,0,1.37253,0,1.63187,0
4.68848,0,1.64097,0,1.37253,0
3.10632,1,9.90178,0,1.64097,0
2.74927,0,0.962246,0,9.90178,0
12.8674,0,4.5036,0,0.962246,0
16.206,1,14.4867,0,4.5036,0
13.1734,0,4.61069,0,14.4867,0
19.6301,0,6.87054,0,4.61069,0
12.7631,1,13.2816,0,6.87054,0
16.3061,1,14.5217,0,13.2816,0
14.2919,0,5.00215,0,14.5217,0
16.6253,0,5.81887,0,5.00215,0
8.52129,0,2.98245,0,5.81887,0
2.2611,1,9.60596,0,2.98245,0
0.517255,0,0.181039,0,9.60596,0
1.31946,0,0.461812,0,0.181039,0
14.7845,0,5.17456,0,0.461812,0
14.5296,0,5.08535,0,5.17456,0
15.8493,0,5.54725,0,5.08535,0
0,0,0,0,0,0
4.8145,0,1.68507,0,5.54725,0
0,0,0,0,0,0
5.65618,0,1.97966,0,0,0
3.94164,0,1.37957,0,1.68507,0
6.91238,0,2.41933,0,1.97966,0
7.82168,0,2.73759,0,1.37957,0
4.73098,0,1.65584,0,2.41933,0
3.47427,0,1.216,0,2.73759,0
3.572,0,1.2502,0,1.65584,0
3.94758,0,1.38165,0,1.216,0
1.8576,0,0.650161,0,1.2502,0
2.82248,0,0.987867,0,1.38165,0
7.09128,0,2.48195,0,0.650161,0
5.73443,0,2.00705,0,0.987867,0
2.71405,0,0.949916,0,2.48195,0
4.46097,0,1.56134,0,2.00705,0
4.75838,0,1.66543,0,0.949916,0
4.56047,0,1.59617,0,1.56134,0
2.92152,0,1.02253,0,1.66543,0
3.24326,0,1.13514,0,1.59617,0
